https://www4.rsweb.com/61045/	neg
http://gasfundy.corp.enron.com/gas/framework/default.asp	neg
212 836 5030	neg
http://fundamentals.corp.enron.com/main.asp	neg
adams 30  631	neg
adams bot 1/2 6365	neg
what are you doing tonight	neg
lumber	neg
speed on eol	pos
message for monday	pos
how to move to algorithms	pos
dave or tom moran	pos
1) The enforceability of my existing contract with Enron, namely section 16.  What happens to my contract with Enron and will I be forced to repay both my sign on bonus and my retention bonus to Enron?	neg
2) Section 1(f) and the last sentence of section 1(c) seem redundant.  Will I get paid the retention bonus absent voluntary termination (i.e. for both with cause and without cause involuntary termination) ?	neg
3) Who will be my employer?  And will all stock and stock option grants be in UBS AG stock?	neg
4) What happens to the Restricted Stock grant referenced in Section 2 and again in Exhibit I if UBS terminates me with or without cause?  As a follow up,  if the stock is lost then what is the consideration for signing this contract (non - compete)?	neg
5) In Section 9(a), the non - compete clause is set up for a 12 month period after my employment begins and continues regardless of termination both voluntarily and involuntarily.  What is to stop UBS from terminating me or anyone else for that matter immediately after signing this agreement?  All they are out is the Retention portion of the contract (since contract is at will).	neg
------------------------------------------------------	neg
Adam's Mark Hotels & Resorts	neg
On-line Reservation Confirmation	neg
------------------------------------------------------	neg
Thank you for booking your reservation on-line.	neg
Listed below is your reservation confirmation.	neg
Your Name:       Eric Bass	neg
Arrival Date:    2000-12-30	neg
Departure Date:  2001-01-01	neg
Guarantee:       VI	neg
Confirmation No: 0092633200	neg
------------------------------------------------------	neg
* CONFIRMED * CF-0092633200 * RG-1/130.00USD	neg
GTD TO VI1798001231:/GX -0702:/AD -B	neg
------------------------------------------------------	neg
If you wish to check or cancel your reservation,	neg
visit http://www.adamsmark.com/resv/rescheck.html.	neg
General Reservations:        800-444-ADAM (2326)	neg
Meeting Reservations:        800-766-MEET (6338)	neg
International Reservations:  1-314-567-9000 Ext. 345	neg
------------------------------------------------------	neg
Adam's Mark Hotels & Resorts	neg
www.adamsmark.com	neg
------------------------------------------------------	neg
http://quotes.freerealtime.com/rt/frt/news?symbol=PMCS&art=C2000090100245b1087	neg
get transmission done	pos
http://ftp.fedworld.gov/pub/irs-pdf/f1040sd1.pdf	neg
http://ftp.fedworld.gov/pub/irs-pdf/i1040sd.pdf	neg
http://www.lonestarford.com/newcars/expedition/expedition_main.htm	neg
1 of	neg
D. Autry  31	neg
M. Pittman  31	neg
2 of	neg
H. Moore 31	neg
D. Jackson 21	neg
J. Graham 11	neg
MC    McNair                1	neg
MC    Donald Hayes      1	neg
It takes from 15  to 60 minutes for your Technology Training login and	neg
password setup to be complete.	neg
Then you will be able to register for classes online at the Technology	neg
Training Web Site using the following login and password:	neg
User Name: Dana Davis/HOU/ECT	neg
Password: cancun	neg
Technology Training URL:	neg
http://ecthou-domweb1.nt.ect.enron.com/Common_Apps/pctrainweb.nsf	neg
Basically I'm doing the job now. I key monthly journal entries for my current	neg
dept. I also perform various clerical duties such as filing , archiving,	neg
running errands making copies, etc. as well.	neg
I have been doing clerical/acctng clerk type work for more than 3 years and I	neg
have been with Enron for a total of 5 years.	neg
