Be kind	pos
Get out of here	pos
Look this over	pos
Paul, do your homework now	pos
Do not clean soot off the window	pos
Turn your phones off, please	pos
Run down to the shop, will you, Peter	pos
Look at this	pos
Stir until smooth	pos
Pick up milk	pos
Season chard with 1/2 tsp. salt.	pos
Let sit in a colander 10 minutes.	pos
Squeeze out excess water with your hands.	pos
Transfer to a cutting board and chop.	pos
Finely grind coriander and caraway seeds in spice mill or with mortar and pestle. Finely chop cilantro, dill, and parsley.	pos
Toss chard, ground coriander and caraway seeds, herbs, onions, breadcrumbs, harissa, pepper, and 1/2 tsp. salt in a large bowl.	pos
Beat 3 eggs to blend in a small bowl, then stir into chard mixture.	pos
Working 3 Tbsp. at a time, portion chard mixture into round, flat patties (you should have about 25 total).	pos
Transfer to a rimmed baking sheet or plate.	pos
Shape 3 tablespoons of the mixture into round flat patties.	pos
Repeat with the remaining mixture.	pos
Pour oil into a large heavy skillet to a depth of 1/4" and heat over medium until shimmering.	pos
Beat remaining 3 eggs to blend in a medium wide shallow bowl.	pos
Dip each patty into egg, letting excess drip back into bowl.	pos
Working in batches, fry patties until set and a golden brown crust forms, 3–4 minutes per side.	pos
Transfer to a paper towel-lined plate; season with salt.	pos
Serve immediately or at room temperature with yogurt alongside, if using.	pos
Preheat oven to 450°F.	pos
Heat an 8" cast-iron skillet over high.	pos
Pat chorizo and beef dry with paper towels, then press into an even layer in bottom of hot skillet with a spatula.	pos
Cook, undisturbed, until a brown crust begins to form on the bottom, about 6 minutes.	pos
Turn, break into pieces, and continue to cook until cooked through, about 4 minutes.	pos
Add tomato paste, cumin, half of grated onion, half of jalapeño, and 1 1/4 tsp. salt and cook, stirring constantly, until fragrant and well combined, about 1 minute.	pos
Remove from heat and stir in tomatoes, 1 1/2 cups corn, and 1 1/2 cups cheese.	pos
Whisk eggs, butter, 1/3 cup sour cream, and remaining onion in a medium bowl.	pos
Whisk cornmeal, baking powder, and remaining 1/2 tsp. salt in a small bowl.	pos
Add dry ingredients to butter mixture and stir to combine, then stir in 1/4 cup cheese and remaining 1/2 cup corn.	pos
Dollop cornbread batter over meat mixture, then smooth into an even layer.	pos
Top with remaining jalapeños and 1/4 cup cheese.	pos
Bake cornbread until golden brown, 15–18 minutes.	pos
Serve with sour cream alongside.	pos
Place the pork and veal on a rimmed baking sheet, transfer to the freezer, and chill until crunchy on the exterior but not frozen solid (30 to 60 minutes).	pos
Pour the ale into a shallow baking dish, transfer to the freezer, and chill until the ale is semi-frozen.	pos
In a small bowl, add the salt, sugar, caraway seeds, mustard powder, thyme, ginger, nutmeg, and Cure No. 1 and stir to combine.	pos
Nest a large mixing bowl in a bowl filled with ice.	pos
Grind the meat through the small die (3/16-inch/4-mm) of the grinder into the bowl set in ice.	pos
Once all of the meat has been ground, pour the semi-frozen ale through the grinder, into the bowl, which will help push out any meat remaining in the feed tube or wrapped around the auger.	pos
Add the spice mixture to the meat and stir with your hands until well incorporated; the mixture will look homogenous and will begin sticking to the bowl.	pos
Spoon 2 tbsp of the meat mixture into a nonstick frying pan and spread into a thin patty.	pos
Cook the test patty over low heat until cooked through but not browned.	pos
Taste the sausage for seasoning and adjust as necessary.	pos
Press a sheet of parchment paper or plastic wrap directly on the surface of the meat to prevent oxidation, then cover the bowl tightly with plastic wrap and refrigerate overnight.	pos
Alternatively, you can vacuum-seal the mixture.	pos
